지점,지점명,일시,SPI3
146,전주,19/05/2023,-0.93
146,전주,20/05/2023,-0.92
146,전주,21/05/2023,-0.93
146,전주,22/05/2023,-0.92
146,전주,23/05/2023,-0.9
146,전주,24/05/2023,-0.89
146,전주,25/05/2023,-0.85
146,전주,26/05/2023,-0.9
146,전주,27/05/2023,-0.88
146,전주,28/05/2023,-0.46
146,전주,29/05/2023,1.16
146,전주,30/05/2023,1.11
146,전주,31/05/2023,1.1
146,전주,01/06/2023,1.06
146,전주,02/06/2023,1.04
146,전주,03/06/2023,0.99
146,전주,04/06/2023,0.98
146,전주,05/06/2023,0.99
146,전주,06/06/2023,1
146,전주,07/06/2023,0.95
146,전주,08/06/2023,0.93
146,전주,09/06/2023,0.95
146,전주,10/06/2023,0.91
146,전주,11/06/2023,0.87
146,전주,12/06/2023,0.74
146,전주,13/06/2023,0.75
146,전주,14/06/2023,0.72
146,전주,15/06/2023,0.75
146,전주,16/06/2023,0.74
146,전주,17/06/2023,0.64
146,전주,18/06/2023,0.62
146,전주,19/06/2023,0.56
146,전주,20/06/2023,0.46
146,전주,21/06/2023,0.46
146,전주,22/06/2023,0.39
146,전주,23/06/2023,0.17
146,전주,24/06/2023,0.08
146,전주,25/06/2023,0.01
146,전주,26/06/2023,0.26
146,전주,27/06/2023,0.21
146,전주,28/06/2023,0.68
146,전주,29/06/2023,1.05
146,전주,30/06/2023,1.19
146,전주,01/07/2023,1.08
146,전주,02/07/2023,1
146,전주,03/07/2023,0.89
146,전주,04/07/2023,1.04
146,전주,05/07/2023,1.12
146,전주,06/07/2023,0.99
146,전주,07/07/2023,1.12
146,전주,08/07/2023,1.16
146,전주,09/07/2023,1.09
146,전주,10/07/2023,1
146,전주,11/07/2023,0.92
146,전주,12/07/2023,0.83
146,전주,13/07/2023,0.86
146,전주,14/07/2023,1.92
146,전주,15/07/2023,2.03
146,전주,16/07/2023,1.98
146,전주,17/07/2023,2.05
146,전주,18/07/2023,2.24
146,전주,19/07/2023,2.24
146,전주,20/07/2023,2.26
146,전주,21/07/2023,2.25
146,전주,22/07/2023,2.2
146,전주,23/07/2023,2.28
146,전주,24/07/2023,2.41
146,전주,25/07/2023,2.51
146,전주,26/07/2023,2.55
146,전주,27/07/2023,2.51
146,전주,28/07/2023,2.47
146,전주,29/07/2023,2.42
146,전주,30/07/2023,2.46
146,전주,31/07/2023,2.43
146,전주,01/08/2023,2.38
146,전주,02/08/2023,2.39
146,전주,03/08/2023,2.28
146,전주,04/08/2023,2.2
146,전주,05/08/2023,2.01
146,전주,06/08/2023,2.03
146,전주,07/08/2023,1.98
146,전주,08/08/2023,1.97
146,전주,09/08/2023,1.96
146,전주,10/08/2023,2.33
146,전주,11/08/2023,2.34
146,전주,12/08/2023,2.36
146,전주,13/08/2023,2.33
146,전주,14/08/2023,2.32
146,전주,15/08/2023,2.29
146,전주,16/08/2023,2.24
146,전주,17/08/2023,2.23
146,전주,18/08/2023,2.19
146,전주,19/08/2023,2.15
146,전주,20/08/2023,2.12
146,전주,21/08/2023,2.1
146,전주,22/08/2023,2.08
146,전주,23/08/2023,2.11
146,전주,24/08/2023,2.13
146,전주,25/08/2023,2.1
146,전주,26/08/2023,2.09
146,전주,27/08/2023,2.07
146,전주,28/08/2023,1.99
146,전주,29/08/2023,1.62
146,전주,30/08/2023,1.68
146,전주,31/08/2023,1.66
146,전주,01/09/2023,1.64
146,전주,02/09/2023,1.63
146,전주,03/09/2023,1.76
146,전주,04/09/2023,1.75
146,전주,05/09/2023,1.74
146,전주,06/09/2023,1.72
146,전주,07/09/2023,1.72
146,전주,08/09/2023,1.72
146,전주,09/09/2023,1.73
146,전주,10/09/2023,1.79
146,전주,11/09/2023,1.79
146,전주,12/09/2023,1.78
146,전주,13/09/2023,1.82
146,전주,14/09/2023,1.85
146,전주,15/09/2023,1.84
146,전주,16/09/2023,1.8
146,전주,17/09/2023,1.94
146,전주,18/09/2023,1.92
146,전주,19/09/2023,1.94
146,전주,20/09/2023,2.02
146,전주,21/09/2023,2.03
146,전주,22/09/2023,2.05
